word	finnish-fi	emotion	emotion-intensity-score
drinks	juomat	joy	0.273
intrigue	juoni	anticipation	0.648
intrigue	juoni	fear	0.188
run	juosta	fear	0.25
jurist	juristi	trust	0.562
rooted	juurtunut	trust	0.586
precipice	jyrkänne	fear	0.469
pounding	jytinä	fear	0.594
cocoa	kaakao	joy	0.353
khan	kaani	fear	0.375
khan	kaani	trust	0.266
translation	käännös	trust	0.391
veer	kääntyä	fear	0.219
chaos	kaaos	anger	0.515
chaos	kaaos	fear	0.839
dwarfed	kääpiöityjen	fear	0.281
seizure	kaappaus	fear	0.719
cabinet	kaappi	trust	0.438
snake	käärme	disgust	0.562
snake	käärme	fear	0.776
snakes	käärmeet	fear	0.802
overthrow	kaataa	anticipation	0.531
overthrow	kaataa	fear	0.547
dumps	kaatopaikat	anger	0.312
downfall	kaatuminen	fear	0.5
formula	kaava	trust	0.445
disappear	kadota	fear	0.422
damnation	kadotus	anger	0.906
damnation	kadotus	fear	0.812
damnation	kadotus	sadness	0.75
skirmish	kahakka	anger	0.545
shackle	kahlehtia	anger	0.641
shackle	kahlehtia	anticipation	0.289
shackle	kahlehtia	disgust	0.5
shackle	kahlehtia	fear	0.609
coffee	kahvi	joy	0.333
cataract	kaihi	anticipation	0.289
cataract	kaihi	fear	0.25
wishful	kaihoisa	anticipation	0.672
omniscient	kaikkitietävä	trust	0.531
almighty	kaikkivaltias	joy	0.516
omnipotence	kaikkivaltius	fear	0.406
coy	kaino	fear	0.162
longing	kaipaus	anticipation	0.602
yearning	kaipuu	anticipation	0.711
yearning	kaipuu	joy	0.297
yearning	kaipuu	trust	0.398
excavation	kaivanto	anticipation	0.578
mine	kaivos	joy	0.297
brat	kakara	anger	0.351
cacophony	kakofonia	anger	0.406
cacophony	kakofonia	disgust	0.328
twofaced	kaksinaamainen	anger	0.531
duplicity	kaksinaamaisuus	anger	0.318
duel	kaksintaistelu	anger	0.422
duel	kaksintaistelu	anticipation	0.484
duel	kaksintaistelu	fear	0.562
biennial	kaksivuotinen	anticipation	0.367
fisheye	kalansilmä	trust	0.281
rattlesnake	kalkkarokäärme	fear	0.641
bedrock	kallioperä	trust	0.617
precious	kallisarvoinen	anticipation	0.516
precious	kallisarvoinen	joy	0.682
recline	kallistaa	trust	0.391
gravitate	kallistua	anticipation	0.477
wan	kalpea	fear	0.281
akin	kaltainen	trust	0.414
leaning	kalteva	trust	0.383
horrible	kamala	anger	0.742
horrible	kamala	disgust	0.656
horrible	kamala	fear	0.734
dreadfully	kamalan	disgust	0.508
dreadfully	kamalan	fear	0.796
dreadfully	kamalan	sadness	0.797
abhorrence	kammo	disgust	0.742
abhor	kammota	anger	0.816
abhor	kammota	disgust	0.609
abhor	kammota	fear	0.547
gory	kammottava	anger	0.576
gory	kammottava	disgust	0.82
gory	kammottava	fear	0.688
campaigning	kampanjointia	anger	0.151
campaigning	kampanjointia	fear	0.125
flounder	kampela	fear	0.297
struggles	kamppailut	trust	0.328
chicken	kana	fear	0.234
loom	kangaspuut	anticipation	0.516
loom	kangaspuut	fear	0.328
girder	kannatinpalkki	trust	0.32
worthwhile	kannattava	joy	0.562
actionable	kannekelpoinen	anger	0.394
actionable	kannekelpoinen	disgust	0.211
complain	kannella	anger	0.469
cannibal	kannibaali	disgust	0.898
cannibal	kannibaali	fear	0.74
cannibalism	kannibalismi	disgust	0.953
pissed	kännissä	anger	0.894
encourage	kannustaa	joy	0.5
encourage	kannustaa	trust	0.625
encouraged	kannusti	joy	0.656
commonwealth	kansainyhteisön	trust	0.523
nation	kansakunta	trust	0.406
congressman	kansanedustaja	trust	0.297
sedition	kansankiihotus	anger	0.422
uprising	kansannousu	anger	0.531
uprising	kansannousu	anticipation	0.68
uprising	kansannousu	fear	0.545
dealings	kanssakäyminen	trust	0.422
claimant	kantaja	anger	0.182
claimant	kantaja	disgust	0.18
mainstay	kantavavoima	trust	0.602
countrymusic	kantrimusiikki	joy	0.212
chaotic	kaoottinen	anger	0.576
capacity	kapasiteetti	trust	0.469
snuggled	käpertyi	joy	0.594
rebellion	kapina	anger	0.609
rebellion	kapina	disgust	0.359
rebellion	kapina	fear	0.531
rebel	kapinallinen	anger	0.547
rebel	kapinallinen	fear	0.359
rebels	kapinalliset	fear	0.435
chaplain	kappalainen	trust	0.523
litigate	käräjöidä	anger	0.359
litigate	käräjöidä	anticipation	0.5
litigate	käräjöidä	disgust	0.352
litigate	käräjöidä	fear	0.312
litigious	käräjöimishaluinen	anger	0.484
litigious	käräjöimishaluinen	disgust	0.414
escaped	karannut	fear	0.375
quarantine	karanteeni	fear	0.578
cardiomyopathy	kardiomyopatia	fear	0.594
gruff	karhea	anger	0.351
gruff	karhea	disgust	0.258
bear	karhu	anger	0.266
bear	karhu	fear	0.524
bearish	karhumainen	anger	0.562
bearish	karhumainen	fear	0.344
disservice	karhunpalvelus	anger	0.485
disservice	karhunpalvelus	disgust	0.32
caries	karies	disgust	0.445
caricature	karikatyyri	fear	0.141
roar	karjaisu	anger	0.515
husbandry	karjanhoito	trust	0.586
hardened	karkaistu	anger	0.348
hardened	karkaistu	disgust	0.391
hardened	karkaistu	fear	0.391
repellant	karkote	disgust	0.539
repellant	karkote	fear	0.373
banished	karkotettu	anger	0.5
banished	karkotettu	fear	0.562
banish	karkottaa	anger	0.509
banish	karkottaa	disgust	0.5
banish	karkottaa	fear	0.688
banishment	karkotus	anger	0.422
banishment	karkotus	disgust	0.469
banishment	karkotus	sadness	0.79
lurid	karmea	disgust	0.594
carnival	karnevaali	joy	0.643
sufferer	kärsijä	fear	0.609
sufferer	kärsijä	sadness	0.77
impatient	kärsimätön	anticipation	0.586
impatient	kärsimätön	fear	0.224
impatiently	kärsimättömästi	fear	0.25
suffering	kärsimys	disgust	0.625
suffering	kärsimys	fear	0.812
suffering	kärsimys	sadness	0.844
carcinoma	karsinooma	fear	0.703
patience	kärsivällisyys	anticipation	0.422
patience	kärsivällisyys	trust	0.555
chart	kartoittaa	trust	0.453
shun	karttaa	anger	0.5
shun	karttaa	disgust	0.438
crusty	kärttyisä	disgust	0.617
stark	karu	trust	0.359
bitterly	karvaasti	anger	0.609
bitterly	karvaasti	disgust	0.547
hairy	karvainen	disgust	0.422
handbook	käsikirja	trust	0.445
dealt	käsitelty	trust	0.344
impenetrable	käsittämätön	trust	0.547
crafts	käsityöt	joy	0.312
cashier	kassanhoitaja	trust	0.469
baptismal	kaste-	joy	0.368
grow	kasvaa	anticipation	0.555
grow	kasvaa	joy	0.242
grow	kasvaa	trust	0.492
tumor	kasvain	fear	0.766
tumour	kasvain	sadness	0.781
nurture	kasvattaa	anger	0.059
nurture	kasvattaa	anticipation	0.406
nurture	kasvattaa	disgust	0.117
nurture	kasvattaa	fear	0.078
nurture	kasvattaa	joy	0.469
nurture	kasvattaa	trust	0.703
growth	kasvu	joy	0.297
catastrophe	katastrofi	anger	0.735
catastrophe	katastrofi	disgust	0.594
catastrophe	katastrofi	fear	0.953
catastrophe	katastrofi	sadness	0.911
cathedral	katedraali	joy	0.266
cathedral	katedraali	trust	0.455
cash	käteinen	anger	0.039
cash	käteinen	anticipation	0.469
cash	käteinen	fear	0.062
cash	käteinen	joy	0.406
cash	käteinen	trust	0.414
catechism	katekismus	disgust	0.289
envy	kateus	trust	0.219
midwife	kätilö	anticipation	0.406
midwife	kätilö	joy	0.288
midwife	kätilö	trust	0.555
disconnects	katkaisee	anger	0.281
resentment	katkeruus	anger	0.691
resentment	katkeruus	disgust	0.508
discontinuity	katkonaisuus	disgust	0.406
discontinuity	katkonaisuus	fear	0.312
blight	kato	disgust	0.5
blight	kato	fear	0.312
vanished	katosi	fear	0.562
watch	katsella	anticipation	0.523
watch	katsella	fear	0.188
gazing	katsellen	joy	0.333
repent	katua	fear	0.25
penance	katumus	fear	0.406
dreadful	kauhea	anger	0.562
dreadful	kauhea	anticipation	0.508
dreadful	kauhea	disgust	0.586
dreadful	kauhea	fear	0.75
dreadful	kauhea	sadness	0.797
terrible	kauhea	anger	0.688
terrible	kauhea	disgust	0.562
terrible	kauhea	fear	0.594
terrified	kauhistunut	fear	0.906
terrifies	kauhistuttaa	fear	0.798
horrifying	kauhistuttava	disgust	0.641
horrifying	kauhistuttava	fear	0.906
horrifying	kauhistuttava	sadness	0.907
terrifying	kauhistuttava	fear	0.906
horror	kauhu	anger	0.75
horror	kauhu	disgust	0.656
horror	kauhu	fear	0.923
horrified	kauhuissaan	fear	0.922
chimera	kauhukuva	fear	0.375
petrified	kauhustakankea	fear	0.844
horrors	kauhut	fear	0.906
horrors	kauhut	sadness	0.828
foresight	kaukokatseisuus	anticipation	0.617
foresight	kaukokatseisuus	trust	0.555
grudge	kauna	anger	0.656
beauty	kauneus	joy	0.621
beautiful	kaunis	joy	0.781
beautify	kaunistaa	joy	0.601
beautification	kaunistamiseen	joy	0.703
beautification	kaunistamiseen	trust	0.508
trading	kaupankäynti	trust	0.422
commerce	kauppa	trust	0.461
merchandise	kauppatavara	trust	0.398
tradesmen	kauppiaat	trust	0.445
merchant	kauppias	trust	0.242
slash	kauttaviiva	anger	0.571
sortie	käväisy	fear	0.359
stroll	kävely	joy	0.156
buddy	kaveri	anticipation	0.336
buddy	kaveri	joy	0.427
buddy	kaveri	trust	0.555
ferment	käydä	anticipation	0.438
privy	käymälä	trust	0.492
latrines	käymälät	disgust	0.656
fermentation	käyminen	anticipation	0.516
policy	käytäntö	trust	0.508
employ	käyttää	trust	0.445
develop	kehittää	anticipation	0.508
immature	kehittymätön	anticipation	0.32
retard	kehitysvammainen	disgust	0.578
retard	kehitysvammainen	fear	0.484
retarded	kehitysvammainen	anger	0.364
admonition	kehotus	fear	0.469
purring	kehrää	joy	0.469
purr	kehrätä	joy	0.5
purr	kehrätä	trust	0.344
cradle	kehto	anticipation	0.375
cradle	kehto	joy	0.247
cradle	kehto	trust	0.531
praise	kehua	joy	0.578
praise	kehua	trust	0.609
praiseworthy	kehujenarvoinen	anticipation	0.473
praiseworthy	kehujenarvoinen	joy	0.609
praiseworthy	kehujenarvoinen	trust	0.609
praised	kehuttu	joy	0.652
praised	kehuttu	trust	0.594
praises	kehuu	joy	0.652
oasis	keidas	anticipation	0.422
oasis	keidas	joy	0.486
oasis	keidas	trust	0.453
spear	keihäs	anger	0.5
spear	keihäs	anticipation	0.367
spear	keihäs	fear	0.468
dandy	keikari	disgust	0.203
speculative	keinotteleva	anticipation	0.555
speculation	keinottelu	fear	0.176
cookies	keksit	joy	0.344
sledding	kelkkailu	joy	0.422
tawny	kellanruskea	disgust	0.211
clock	kello	anticipation	0.375
jaundice	keltatauti	fear	0.359
unworthy	kelvoton	disgust	0.375
chemist	kemisti	trust	0.445
cream	kerma	anticipation	0.273
cream	kerma	joy	0.061
kerosene	kerosiini	fear	0.375
summer	kesä	joy	0.591
miscarriage	keskenmeno	fear	0.719
miscarriage	keskenmeno	sadness	0.824
interrupt	keskeyttää	anger	0.333
interrupting	keskeyttämättä	anger	0.358
interrupts	keskeytykset	anger	0.265
center	keskusta	trust	0.531
cantstandit	kestä	anger	0.529
withstand	kestää	anticipation	0.414
withstand	kestää	fear	0.197
indefensible	kestämätön	fear	0.484
durable	kestävä	trust	0.547
durability	kestävyys	trust	0.641
pneumonia	keuhkokuume	fear	0.625
vernal	keväinen	joy	0.203
lighten	keventää	joy	0.409
gently	kevyesti	joy	0.303
kiddo	kiddo	joy	0.47
kiddos	kiddos	joy	0.344
kidnapped	kidnapattu	fear	0.828
torture	kiduttaa	anger	0.833
torture	kiduttaa	anticipation	0.477
torture	kiduttaa	disgust	0.828
torture	kiduttaa	fear	0.984
torture	kiduttaa	sadness	0.766
simmer	kiehua	anger	0.469
simmer	kiehua	anticipation	0.398
grammar	kielioppi	trust	0.43
linguist	kielitieteilijä	trust	0.406
prohibited	kielletty	anger	0.328
prohibited	kielletty	disgust	0.281
prohibited	kielletty	fear	0.5
deny	kieltää	anger	0.438
deny	kieltää	trust	0.18
irrefutable	kieltämätön	trust	0.578
repudiation	kieltäminen	anger	0.51
repudiation	kieltäminen	disgust	0.539
forbidding	kieltävät	anger	0.368
forbidding	kieltävät	fear	0.578
denial	kieltäytyminen	trust	0.242
squirm	kiemurtelu	disgust	0.492
perverse	kieroutunut	anger	0.415
perverse	kieroutunut	disgust	0.805
perverse	kieroutunut	fear	0.438
evade	kiertää	anger	0.344
evade	kiertää	disgust	0.219
evade	kiertää	fear	0.344
revving	kiertävä	anger	0.309
strolling	kiertelevä	joy	0.297
involution	kiertyminen	anger	0.3
entangled	kietoutunut	anger	0.544
entangled	kietoutunut	disgust	0.242
entangled	kietoutunut	fear	0.438
betrothed	kihlattu	anticipation	0.531
betrothed	kihlattu	joy	0.485
betrothed	kihlattu	trust	0.555
engaged	kihloissa	anticipation	0.641
engaged	kihloissa	joy	0.652
engaged	kihloissa	trust	0.625
accelerate	kiihdyttää	anticipation	0.594
zealous	kiihkeä	joy	0.393
zealous	kiihkeä	trust	0.258
fervor	kiihkeys	anger	0.5
fervor	kiihkeys	joy	0.295
bigoted	kiihkoileva	anger	0.53
bigoted	kiihkoileva	disgust	0.633
bigoted	kiihkoileva	fear	0.281
bigot	kiihkoilija	anger	0.603
bigot	kiihkoilija	disgust	0.859
bigot	kiihkoilija	fear	0.422
excite	kiihottaa	anger	0.191
excite	kiihottaa	anticipation	0.742
excite	kiihottaa	fear	0.132
excite	kiihottaa	joy	0.697
excitation	kiihtymys	anger	0.172
excitation	kiihtymys	anticipation	0.703
excitation	kiihtymys	fear	0.391
excitation	kiihtymys	joy	0.891
agitated	kiihtynyt	anger	0.63
gusset	kiila	trust	0.234
luster	kiilto	joy	0.469
adhering	kiinni	trust	0.57
mortgagee	kiinnityksenhaltija	trust	0.359
moorings	kiinnitysköydet	trust	0.461
interested	kiinnostunut	disgust	0.078
fixed	kiinteä	trust	0.422
firmness	kiinteys	trust	0.586
purgatory	kiirastuli	disgust	0.547
purgatory	kiirastuli	fear	0.656
hurry	kiire	anticipation	0.695
hurry	kiire	fear	0.203
urgent	kiireellinen	anticipation	0.727
urgent	kiireellinen	fear	0.45
urgency	kiireellisyys	anticipation	0.703
urgency	kiireellisyys	fear	0.391
hurryup	kiirehdi	fear	0.281
altercation	kiista	anger	0.729
disclaim	kiistää	anger	0.344
disclaim	kiistää	disgust	0.32
disclaim	kiistää	trust	0.367
controversial	kiistanalainen	anger	0.359
undoubted	kiistaton	anticipation	0.391
undoubted	kiistaton	disgust	0.164
unquestionable	kiistaton	trust	0.602
unquestionably	kiistatta	trust	0.57
commendable	kiitettävä	joy	0.519
commendable	kiitettävä	trust	0.68
thankful	kiitollinen	joy	0.727
gratitude	kiitollisuus	joy	0.914
gratitude	kiitollisuus	trust	0.594
commendation	kiitos	trust	0.594
thankyoulord	kiitosherra	joy	0.803
thankyoujesus	kiitosjeesus	joy	0.688
thankyougod	kiitosjumala	joy	0.824
thanksgiving	kiitospäivä	joy	0.641
thanksalot	kiitospaljon	anger	0.172
commend	kiittää	trust	0.617
thanking	kiittäen	joy	0.515
ungrateful	kiittämätön	anger	0.472
ungrateful	kiittämätön	disgust	0.406
thx	kiitti	joy	0.344
vehement	kiivas	anger	0.734
vehement	kiivas	fear	0.641
giggles	kikattaa	joy	0.672
giggle	kikatus	joy	0.802
ting	kilauttaa	trust	0.242
shriek	kiljua	anger	0.316
shriek	kiljua	fear	0.516
competition	kilpailu	anticipation	0.523
competition	kilpailu	fear	0.172
competitive	kilpailukykyinen	anger	0.125
kind	kiltti	joy	0.621
kind	kiltti	trust	0.641
glitter	kimallus	disgust	0.094
glitter	kimallus	joy	0.422
sparkle	kimallus	anticipation	0.484
shrill	kimeä	anger	0.547
shrill	kimeä	fear	0.453
dispute	kina	anger	0.531
bickering	kinastelu	anger	0.578
bickering	kinastelu	disgust	0.336
wrangling	kinastelu	fear	0.531
sore	kipeä	anger	0.379
patter	kipittää	anger	0.258
mucked	kippasi	anger	0.438
cheers	kippis	joy	0.773
pain	kipu	fear	0.594
strained	kireä	anger	0.484
tighten	kiristää	anger	0.328
registry	kirjaamo	trust	0.547
author	kirjailija	trust	0.469
bookstore	kirjakauppa	joy	0.125
accountant	kirjanpitäjä	trust	0.422
font	kirjasinlaji	trust	0.352
books	kirjat	joy	0.136
letter	kirje	anticipation	0.484
correspondence	kirjeenvaihto	anticipation	0.484
misspell	kirjoittaaväärin	anger	0.136
brighten	kirkastaa	joy	0.719
brighten	kirkastaa	trust	0.602
brighter	kirkkaampi	joy	0.625
church	kirkko	anticipation	0.312
church	kirkko	joy	0.242
church	kirkko	trust	0.492
vicar	kirkkoherra	trust	0.469
synod	kirkolliskokous	trust	0.414
screech	kirkua	fear	0.406
screaming	kirkuva	anger	0.742
screaming	kirkuva	disgust	0.5
screaming	kirkuva	fear	0.781
cursing	kiroilu	anger	0.625
cursing	kiroilu	disgust	0.43
cursed	kirottu	anger	0.574
cursed	kirottu	fear	0.734
curse	kirous	anger	0.688
curse	kirous	disgust	0.43
curse	kirous	fear	0.578
flea	kirppu	disgust	0.578
aphid	kirva	disgust	0.453
journeyman	kisälli	trust	0.453
rail	kisko	anger	0.406
rail	kisko	anticipation	0.234
kitten	kissanpentu	joy	0.364
kitten	kissanpentu	trust	0.461
kita	kita	trust	0.297
whine	kitistä	disgust	0.328
friction	kitka	anger	0.47
peeved	kiukkuinen	anger	0.688
tantrum	kiukuttelu	anger	0.682
nuisance	kiusa	anger	0.406
bothering	kiusaa	anger	0.344
awkwardness	kiusallisuus	disgust	0.203
teasing	kiusanteko	anger	0.288
teasing	kiusanteko	fear	0.303
bully	kiusata	anger	0.688
bully	kiusata	fear	0.656
rifle	kivääri	anger	0.379
rifle	kivääri	fear	0.453
stone	kivi	anger	0.258
rubble	kivimurska	fear	0.406
clan	klaani	trust	0.398
classics	klassikoita	joy	0.318
classical	klassinen	joy	0.106
claustrophobia	klaustrofobia	fear	0.803
claustrophobic	klaustrofobinen	fear	0.765
clinical	kliininen	fear	0.312
clown	klovni	anticipation	0.25
clown	klovni	fear	0.125
clown	klovni	joy	0.409
cobra	kobra	fear	0.703
cozy	kodikas	joy	0.583
dispossessed	koditon	anger	0.47
dispossessed	koditon	fear	0.578
experiment	koe	anticipation	0.58
probation	koeaika	anticipation	0.414
probation	koeaika	fear	0.438
ordeal	koettelemus	anger	0.5
tribulation	koettelemus	fear	0.594
tribulation	koettelemus	joy	0.106
confront	kohdata	anger	0.582
treat	kohdella	anger	0.175
treat	kohdella	anticipation	0.516
treat	kohdella	disgust	0.078
treat	kohdella	fear	0.094
treat	kohdella	joy	0.529
treat	kohdella	trust	0.422
targeted	kohdennettu	fear	0.641
targeting	kohdistaminen	fear	0.438
cohesion	koheesio	trust	0.562
uplift	kohottaa	anticipation	0.586
uplift	kohottaa	joy	0.723
uplift	kohottaa	trust	0.562
eminence	kohouma	trust	0.594
destiny	kohtalo	anticipation	0.633
destiny	kohtalo	joy	0.484
fate	kohtalo	trust	0.438
fatal	kohtalokas	anger	0.712
fatal	kohtalokas	fear	0.828
fatal	kohtalokas	sadness	0.922
compliment	kohteliaisuus	anticipation	0.453
compliment	kohteliaisuus	joy	0.831
compliment	kohteliaisuus	trust	0.516
unconscionable	kohtuuton	disgust	0.492
northeast	koilliseen	fear	0.088
coyote	kojootti	fear	0.422
experience	kokea	joy	0.375
tryout	kokeilla	fear	0.125
foray	kokeilu	anger	0.279
experienced	kokenut	trust	0.602
full	koko	joy	0.375
ensemble	kokonaisuus	trust	0.539
assembly	kokoonpano	trust	0.484
cholera	kolera	disgust	0.68
cholera	kolera	fear	0.75
battered	kolhiintunut	fear	0.667
battered	kolhiintunut	sadness	0.734
collectively	kollektiivisesti	trust	0.586
thirteenth	kolmastoista	fear	0.465
commandant	komendantti	trust	0.578
commanding	komentava	trust	0.547
magnificence	komeus	anticipation	0.57
magnificence	komeus	joy	0.797
magnificence	komeus	trust	0.609
commission	komissio	trust	0.469
committee	komitea	trust	0.516
blunder	kömmähdys	disgust	0.336
commodore	kommodori	trust	0.414
communism	kommunismi	anger	0.531
communism	kommunismi	fear	0.547
compact	kompakti	trust	0.43
compass	kompassi	trust	0.57
clumsy	kömpelö	disgust	0.133
compost	komposti	disgust	0.352
machine	kone	trust	0.289
conflict	konflikti	anger	0.578
conflict	konflikti	fear	0.641
congress	kongressi	disgust	0.297
congress	kongressi	trust	0.273
congruence	kongruenssi	trust	0.555
concordance	konkordanssin	trust	0.562
bankruptcy	konkurssi	anger	0.221
bankruptcy	konkurssi	disgust	0.445
bankruptcy	konkurssi	fear	0.359
bankrupt	konkurssiin	fear	0.375
villain	konna	fear	0.595
consul	konsuli	trust	0.477
consult	konsultoida	trust	0.57
koo	koo	trust	0.211
coma	kooma	fear	0.656
grope	kopeloida	anger	0.576
grope	kopeloida	disgust	0.703
grope	kopeloida	fear	0.453
basketball	koripallo	anticipation	0.453
basketball	koripallo	joy	0.062
harvest	korjuu	anticipation	0.578
harvest	korjuu	joy	0.297
highest	korkein	anticipation	0.491
highest	korkein	fear	0.236
highest	korkein	joy	0.591
elevation	korkeus	anticipation	0.508
elevation	korkeus	fear	0.266
elevation	korkeus	joy	0.455
elevation	korkeus	trust	0.523
stressing	korostaa	fear	0.406
exalt	korottaa	anticipation	0.562
exalt	korottaa	joy	0.636
exalt	korottaa	trust	0.555
vulture	korppikotka	disgust	0.516
vulture	korppikotka	fear	0.41
corruption	korruptio	disgust	0.656
irreparable	korvaamaton	fear	0.625
priceless	korvaamaton	joy	0.641
reimbursement	korvaus	trust	0.406
surrogate	korvike	trust	0.391
courtship	kosiskelu	anticipation	0.656
courtship	kosiskelu	joy	0.375
courtship	kosiskelu	trust	0.508
cosmopolitan	kosmopoliittinen	trust	0.367
retaliate	kostaa	anger	0.773
avenger	kostaja	anger	0.485
dank	kostea	disgust	0.57
revenge	kosto	anger	0.738
revenge	kosto	anticipation	0.602
revenge	kosto	fear	0.656
vengeful	kostonhimoinen	anger	0.894
vengeful	kostonhimoinen	fear	0.625
home	koti	joy	0.559
governess	kotiopettajatar	trust	0.438
homework	kotitehtävät	fear	0.109
housewife	kotivaimo	trust	0.508
eagle	kotka	trust	0.453
barrow	kottikärryt	disgust	0.258
school	koulu	trust	0.531
trainer	kouluttaja	trust	0.414
educational	koulutuksellinen	trust	0.586
spasm	kouristus	fear	0.453
harshness	kovuudessa	anger	0.597
harshness	kovuudessa	fear	0.516
destitute	köyhä	fear	0.455
destitute	köyhä	sadness	0.766
poverty	köyhyys	anger	0.312
poverty	köyhyys	disgust	0.469
poverty	köyhyys	fear	0.391
cramp	kramppi	anticipation	0.352
grenade	kranaatti	fear	0.828
shelling	kranaattituli	fear	0.594
fussy	kranttu	anger	0.357
fussy	kranttu	disgust	0.227
count	kreivi	trust	0.43
crisis	kriisi	fear	0.766
critical	kriittinen	joy	0.116
christian	kristillinen	joy	0.397
christ	kristus	joy	0.5
uncritical	kritiikitön	trust	0.469
criticism	kritiikki	anger	0.318
criticism	kritiikki	trust	0.234
crocodile	krokotiili	fear	0.7
chronicle	kronikka	trust	0.539
coronation	kruunajaiset	joy	0.515
coronation	kruunajaiset	trust	0.523
crowning	kruunaus	anticipation	0.648
crowning	kruunaus	joy	0.485
crowning	kruunaus	trust	0.484
crypt	krypta	fear	0.566
loon	kuikka	disgust	0.398
chasm	kuilu	fear	0.375
nobodycares	kukaaneivälitä	anger	0.5
flowers	kukat	joy	0.406
bloom	kukinta	anticipation	0.617
bloom	kukinta	joy	0.5
bloom	kukinta	trust	0.531
blossom	kukka	joy	0.53
bouquet	kukkakimppu	joy	0.484
bouquet	kukkakimppu	trust	0.375
thriving	kukoistava	anticipation	0.578
thriving	kukoistava	joy	0.719
heyday	kukoistus	anticipation	0.492
heyday	kukoistus	joy	0.484
heyday	kukoistus	trust	0.32
gulp	kulaus	fear	0.391
culinary	kulinaarinen	trust	0.383
procession	kulkue	joy	0.242
tramp	kulkuri	disgust	0.484
tramp	kulkuri	fear	0.44
fang	kulmahammas	fear	0.516
wildfire	kulo	fear	0.641
bonanza	kultakaivos	joy	0.812
sweetheart	kultaseni	anticipation	0.57
sweetheart	kultaseni	joy	0.758
sweetheart	kultaseni	trust	0.589
cult	kultti	fear	0.518
freak	kummajainen	fear	0.562
oddity	kummajainen	disgust	0.359
haunt	kummitella	fear	0.641
phantom	kummitus	fear	0.538
quash	kumota	fear	0.328
refutation	kumottu	fear	0.391
subversive	kumouksellinen	anger	0.469
subversion	kumouksellisuus	anger	0.47
subversion	kumouksellisuus	fear	0.469
companion	kumppani	joy	0.406
glory	kunnia	anticipation	0.547
glory	kunnia	joy	0.859
glory	kunnia	trust	0.477
badge	kunniamerkki	trust	0.5
reverend	kunnianarvoisa	joy	0.377
ambition	kunnianhimo	anticipation	0.617
ambition	kunnianhimo	joy	0.578
ambition	kunnianhimo	trust	0.586
aspiring	kunnianhimoinen	anticipation	0.656
aspiring	kunnianhimoinen	joy	0.618
aspiring	kunnianhimoinen	trust	0.539
libel	kunnianloukkaus	anger	0.4
libel	kunnianloukkaus	fear	0.348
accolade	kunnianosoitus	anticipation	0.562
accolade	kunnianosoitus	joy	0.586
accolade	kunnianosoitus	trust	0.508
venerable	kunnioitettava	anticipation	0.43
venerable	kunnioitettava	joy	0.279
venerable	kunnioitettava	trust	0.508
revere	kunnioittaa	anticipation	0.422
revere	kunnioittaa	joy	0.594
revere	kunnioittaa	trust	0.586
respect	kunnioittaminen	anticipation	0.438
respect	kunnioittaminen	joy	0.5
reverence	kunnioitus	joy	0.424
reverence	kunnioitus	trust	0.703
renovate	kunnostaa	anticipation	0.453
excel	kunnostautua	anticipation	0.461
excel	kunnostautua	joy	0.5
excel	kunnostautua	trust	0.609
renovation	kunnostus	anticipation	0.516
renovation	kunnostus	joy	0.333
fitness	kunto	joy	0.312
rehabilitation	kuntoutus	anticipation	0.453
castrate	kuohita	anger	0.727
turmoil	kuohunta	anger	0.618
turmoil	kuohunta	fear	0.733
drool	kuolata	disgust	0.609
death	kuolema	anger	0.574
death	kuolema	anticipation	0.398
death	kuolema	disgust	0.656
death	kuolema	fear	0.843
death	kuolema	sadness	0.915
fatality	kuolemantapaus	fear	0.906
fatality	kuolemantapaus	sadness	0.766
undying	kuolematon	anticipation	0.359
undying	kuolematon	joy	0.25
undying	kuolematon	trust	0.5
immortality	kuolemattomuus	anticipation	0.562
amortization	kuoletus	trust	0.414
dying	kuoleva	anger	0.455
dying	kuoleva	disgust	0.617
dying	kuoleva	fear	0.948
dying	kuoleva	sadness	0.875
knell	kuolinkellot	fear	0.344
die	kuolla	fear	0.766
die	kuolla	sadness	0.773
stillborn	kuolleenasyntynyt	sadness	0.83
stillbirth	kuolleenasyntynytlapsi	sadness	0.891
mortality	kuolleisuus	anger	0.312
mortality	kuolleisuus	fear	0.797
deceased	kuollut	sadness	0.891
shell	kuori	anger	0.234
shell	kuori	fear	0.172
truck	kuorma-auto	trust	0.266
choir	kuoro	joy	0.391
choir	kuoro	trust	0.414
choral	kuoro-	joy	0.348
bubble	kupla	joy	0.141
cupping	kuppaus	disgust	0.25
cupping	kuppaus	fear	0.266
discipline	kuri	fear	0.344
courier	kuriiri	trust	0.461
strangle	kuristaa	anger	0.859
strangle	kuristaa	disgust	0.617
strangle	kuristaa	fear	0.75
throttle	kuristin	anger	0.579
unruly	kuriton	anger	0.5
unruly	kuriton	disgust	0.398
unruly	kuriton	fear	0.281
misbehavior	kurittomuus	anger	0.351
misbehavior	kurittomuus	disgust	0.352
miserable	kurja	anger	0.594
miserable	kurja	disgust	0.547
miserable	kurja	sadness	0.844
misery	kurjuus	anger	0.547
misery	kurjuus	disgust	0.594
misery	kurjuus	fear	0.734
misery	kurjuus	sadness	0.938
withered	kurttuinen	disgust	0.531
asshole	kusipää	anger	0.606
